width,height,horizontalStreets,verticalStreets,density,stream
50,50,2,2,1,0.0332126
50,50,2,2,2,0.0660875
50,50,2,2,3,0.0980286
50,50,2,2,4,0.128093
50,50,2,2,5,0.154663
50,50,2,2,6,0.176637
50,50,2,2,7,0.194155
50,50,2,2,8,0.207535
50,50,2,2,9,0.216656
50,50,2,2,10,0.223623
50,50,2,2,11,0.22741
50,50,2,2,12,0.229874
50,50,2,2,13,0.233534
50,50,2,2,14,0.236076
50,50,2,2,15,0.235657
50,50,2,2,16,0.237281
50,50,2,2,17,0.237782
50,50,2,2,18,0.238454
50,50,2,2,19,0.239808
50,50,2,2,20,0.239043

100,100,4,4,1,0.0330551
100,100,4,4,2,0.0652746
100,100,4,4,3,0.0959817
100,100,4,4,4,0.124266
100,100,4,4,5,0.149474
100,100,4,4,6,0.171237
100,100,4,4,7,0.188071
100,100,4,4,8,0.201048
100,100,4,4,9,0.210201
100,100,4,4,10,0.21681
100,100,4,4,11,0.222383
100,100,4,4,12,0.226207
100,100,4,4,13,0.228677
100,100,4,4,14,0.229285
100,100,4,4,15,0.225929
100,100,4,4,16,0.0663262
100,100,4,4,17,0.0400453
100,100,4,4,18,0.0410761
100,100,4,4,19,0.0197491
100,100,4,4,20,0.0173548

150,150,6,6,1,0.0329562
150,150,6,6,2,0.064844
150,150,6,6,3,0.0950268
150,150,6,6,4,0.123094
150,150,6,6,5,0.148435
150,150,6,6,6,0.169515
150,150,6,6,7,0.186548
150,150,6,6,8,0.199538
150,150,6,6,9,0.208205
150,150,6,6,10,0.215604
150,150,6,6,11,0.220428
150,150,6,6,12,0.17003
150,150,6,6,13,0.0752398
150,150,6,6,14,0.046986
150,150,6,6,15,0.0206921
150,150,6,6,16,0.0273446
150,150,6,6,17,0.0149647
150,150,6,6,18,0.013452
150,150,6,6,19,0.0125394
150,150,6,6,20,0.0143087

200,200,8,8,1,0.0329516
200,200,8,8,2,0.0647931
200,200,8,8,3,0.0950743
200,200,8,8,4,0.123016
200,200,8,8,5,0.147963
200,200,8,8,6,0.168962
200,200,8,8,7,0.185861
200,200,8,8,8,0.198537
200,200,8,8,9,0.207913
200,200,8,8,10,0.214852
200,200,8,8,11,0.184177
200,200,8,8,12,0.122798
200,200,8,8,13,0.0311949
200,200,8,8,14,0.0258111
200,200,8,8,15,0.0304996
200,200,8,8,16,0.0242267
200,200,8,8,17,0.0206833
200,200,8,8,18,0.0135614
200,200,8,8,19,0.0119651
200,200,8,8,20,0.0129028

250,250,10,10,1,0.0329243
250,250,10,10,2,0.0647421
250,250,10,10,3,0.0949418
250,250,10,10,4,0.122978
250,250,10,10,5,0.147812
250,250,10,10,6,0.16883
250,250,10,10,7,0.185496
250,250,10,10,8,0.198398
250,250,10,10,9,0.20775
250,250,10,10,10,0.214558
250,250,10,10,11,0.0853478
250,250,10,10,12,0.0762616
250,250,10,10,13,0.0459933
250,250,10,10,14,0.0229253
250,250,10,10,15,0.0219847
250,250,10,10,16,0.021031
250,250,10,10,17,0.0152668
250,250,10,10,18,0.0191248
250,250,10,10,19,0.013946
250,250,10,10,20,0.0140025

